Epoch,GenLoss,DiscLoss,Train MAE,Train MAPE,Val MAE,Val MAPE
1,12.4007,0.0814,0.034364,31481.18,0.025645,22010.35
2,15.1094,0.0006,0.031680,22811.78,0.056976,47818.61
3,14.5385,0.0002,0.032652,31632.38,0.040098,47542.80
4,11.4322,0.1441,0.028289,26968.28,0.029785,28037.48
5,12.9927,0.0557,0.032837,34862.73,0.040486,65232.33
6,11.0179,0.1073,0.025104,28742.55,0.023569,25719.36
7,13.7163,0.0199,0.032627,32644.54,0.022694,18293.02
8,17.1444,0.0022,0.031590,31251.61,0.072176,67681.66
9,17.3976,0.0002,0.024339,22950.26,0.028047,35241.02
10,17.7542,0.0001,0.024902,21820.38,0.021457,17188.49
11,18.3711,0.0000,0.032000,26110.66,0.033541,34359.18
12,19.1557,0.0002,0.033646,28922.29,0.038869,29404.64
13,19.9919,0.0000,0.041198,30177.79,0.039202,38516.18
14,24.3014,0.0000,0.036068,29757.99,0.031005,27969.97
15,22.9355,0.0000,0.039353,34147.62,0.039886,36742.05
16,24.5321,0.0001,0.041598,42262.65,0.064375,33658.98
17,13.7030,0.2177,0.035633,33398.91,0.030961,42440.94
18,10.8782,0.1712,0.025657,31567.76,0.019703,15401.95
19,8.6731,0.4411,0.020129,19920.98,0.016934,15784.71
20,5.8168,0.6100,0.017734,17419.96,0.015421,13769.33
21,3.6495,0.7999,0.016159,15539.31,0.023199,23118.12
22,2.8841,1.0544,0.014554,12776.70,0.016787,12872.62
23,2.8545,1.0380,0.014236,11916.89,0.012670,10405.49
24,2.7212,1.0669,0.013743,11576.08,0.012663,11803.31
25,2.6079,1.0831,0.013037,10843.68,0.012787,12075.17
26,2.6895,1.0488,0.013089,10945.72,0.016771,17665.31
27,2.7119,1.0535,0.013154,10976.48,0.014182,12325.79
28,2.5351,1.1005,0.012570,10041.77,0.020696,13693.47
29,2.3709,1.1524,0.012033,9433.43,0.012085,10810.22
30,2.4521,1.1128,0.011963,9341.11,0.011701,8970.25
31,2.3904,1.1173,0.011621,8978.24,0.011441,7927.84
32,2.5829,1.0585,0.011875,9284.25,0.010774,7880.64
33,2.3839,1.1067,0.011324,8435.92,0.011010,7967.25
34,2.2330,1.1598,0.010789,7871.34,0.010308,7765.44
35,2.4421,1.0637,0.011098,8419.14,0.012701,10792.19
36,2.5898,1.0392,0.011216,8455.38,0.013293,11337.86
37,2.2692,1.1305,0.010635,7779.27,0.019003,16156.96
38,2.7499,0.9683,0.011370,8846.39,0.011123,7584.99
39,2.5694,1.0276,0.011008,8285.76,0.013813,13179.53
40,2.4152,1.0769,0.010683,7868.98,0.011333,7325.95
41,2.4121,1.0654,0.010637,7729.71,0.010469,6411.22
42,2.3592,1.0843,0.010509,7602.20,0.010232,7700.09
43,2.7694,0.9647,0.011291,8426.00,0.011478,10565.04
44,2.5165,1.0315,0.010806,7903.84,0.013646,10554.91
45,2.4329,1.0665,0.010490,7692.31,0.009636,6706.68
46,2.6144,0.9945,0.010858,8156.78,0.014361,11874.67
47,3.3521,0.7981,0.012139,9239.77,0.020429,10787.33
48,5.3448,0.4376,0.014824,12669.53,0.012751,9515.65
49,3.9715,0.6987,0.012657,10035.70,0.016901,13146.16
50,3.4211,0.8025,0.011895,9090.72,0.011374,10092.04
