Epoch,GenLoss,DiscLoss,Train MAE,Train MAPE,Val MAE,Val MAPE
1,3.1346,0.8657,0.011578,8708.52,0.011752,8917.97
2,3.7045,0.7203,0.012136,9197.28,0.011286,9831.27
3,3.1696,0.8661,0.01147,8356.29,0.01044,7202.92
4,2.8927,0.9272,0.010964,7785.79,0.010176,7318.31
5,2.772,0.9552,0.010696,7714.97,0.010195,7393.41
6,2.7399,0.9578,0.010639,7855.2,0.010099,7624.07
7,2.6122,0.9962,0.010395,7333.77,0.011611,8314.76
8,2.6481,0.9804,0.010379,7534.05,0.010295,7015.12
9,2.7803,0.9419,0.010481,7627.65,0.00985,7119.62
10,2.5629,1.0087,0.010122,7209.75,0.013708,8323.45
11,2.4314,1.0479,0.009943,7075.42,0.009809,6467.35
12,2.4432,1.0287,0.009914,7037.78,0.01181,8740.3
13,2.5699,1.0013,0.010055,7318.88,0.010562,5483.36
14,2.3493,1.0704,0.009676,6756.99,0.011092,10576.19
15,2.4101,1.0397,0.009741,6956.78,0.010942,10438.69
16,2.4259,1.037,0.009726,6810.83,0.014795,9131.16
17,2.3636,1.0561,0.009547,6680.28,0.013933,7550.98
18,2.5269,0.9985,0.009814,6979.93,0.009734,7175.38
19,2.4829,1.0216,0.009615,6736.91,0.013185,11439.85
20,2.4701,1.0173,0.009541,6608.23,0.013053,11764.87
21,2.9904,0.8657,0.010267,7390.21,0.010661,8629.92
22,2.8267,0.9186,0.009958,7076.85,0.009066,5930.31
23,2.6184,0.9818,0.009553,6636.95,0.008789,5342.02
24,2.6566,0.9556,0.009637,6773.57,0.00969,7787.28
25,2.7407,0.9374,0.009719,6797.15,0.010304,9663.58
